v1,v2,v3,c1,c2,c3,matched_v1,matched_v2,matched_v3,matched_c1,matched_c2,matched_c3,match_vScore, match_cScore,ave score
0.013854,0.0059655,0.00018054,0.56308,0.36398,0.14081,0.012645,0.00582,0.0015347,0.608,0.2956,0.26307,91.899,90.93,91.415
0.011247,0.0017362,0.0070169,0.69696,0.23714,0.084534,0.010819,0.001733,0.0074478,0.86526,0.11245,0.075602,97.295,86.924,92.11
0.0074608,0.0014466,0.011093,0.7506,0.61318,0.21063,0.0073937,0.0028771,0.0097292,0.77857,0.61295,0.24949,91.194,97.005,94.1
0.0099707,0.0011837,0.0088456,0.78776,0.40606,0.14426,0.0097609,0.0029838,0.0072552,0.72698,0.36392,0.25017,89.277,92.085,90.681
0.017267,0.0009402,0.0017928,0.72844,0.17343,0.13375,0.015542,0.0031606,0.0012975,0.58882,0.18557,0.14619,87.348,90.315,88.831
0.0054681,0.0076293,0.0069026,0.76556,0.66863,0.62691,0.0054624,0.0079191,0.0066185,0.62344,0.51107,0.41017,98.192,82.184,90.188
0.00097435,0.018623,0.00040249,0.81616,0.059281,0.012557,0.0068233,0.011305,0.0018718,1,0.24007,0.046511,57.941,84.055,70.998
0.0071977,0.0054625,0.0073398,0.87907,0.80501,0.50695,0.0072561,0.0047098,0.0080341,0.68028,0.54774,0.33792,95.434,78.524,86.979
0.019118,0.00066588,0.00021594,0.76306,0.64868,0.52934,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,88.053,76.997,82.525
0.0026426,0.013204,0.0041532,0.80862,0.32154,0.27051,0.0042538,0.012561,0.003185,0.87519,0.44302,0.23084,91.252,91.051,91.151
0.00076639,0.0018504,0.017383,0.97405,0.38574,0.20531,0.00079507,0.002597,0.016608,0.58041,0.57868,0.49615,95.205,68.61,81.907
0.018073,0.0006553,0.0012719,0.83195,0.60513,0.13495,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,91.019,73.917,82.468
0.011109,0.0040474,0.0048435,0.80513,0.43798,0.22703,0.0099896,0.0049141,0.0050962,0.7361,0.34905,0.19426,93.628,92.913,93.271
