v1,v2,v3,c1,c2,c3,matched_v1,matched_v2,matched_v3,matched_c1,matched_c2,matched_c3,match_vScore, match_cScore,ave score
0.013318,0.0055492,0.001133,0.83681,0.1167,0.044209,0.013413,0.0053307,0.001256,0.72288,0.060992,0.060831,98.82,91.796,95.308
0.013567,0.0033188,0.0031139,0.98903,0.26479,0.22955,0.013418,0.0036656,0.0029167,0.73734,0.066002,0.034699,98.125,78.172,88.149
0.0074751,0.0017113,0.010814,0.54135,0.39996,0.14881,0.0071244,0.0022692,0.010664,0.7224,0.54042,0.34013,96.981,82.634,89.808
0.0076103,0.0037438,0.0086458,0.64726,0.16817,0.077941,0.0075864,0.0039078,0.0085641,0.85482,0.34254,0.25413,99.147,81.269,90.208
0.019757,9.36E-05,0.0001494,0.97162,0.16226,0.15009,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,80.659,72.928,76.793
0.015087,0.0042087,0.00070456,0.80119,0.086022,0.03918,0.013413,0.0053307,0.001256,0.72288,0.060992,0.060831,90.781,94.474,92.627
0.013092,0.00039745,0.0065108,0.51063,0.14798,0.13784,0.013384,0.00079231,0.0059062,0.64337,0.36506,0.18624,96.625,83.831,90.228
0.01028,0.0085076,0.0012121,0.68905,0.60947,0.32593,0.010002,0.0084318,0.001566,0.61106,0.4171,0.34592,97.976,86.366,92.171
0.017852,0.00022073,0.0019272,0.60602,0.42519,0.15364,0.014086,0.0010088,0.0049698,0.60906,0.42727,0.19918,78.271,96.842,87.557
2.79E-05,0.0076754,0.012297,0.66007,0.25964,0.047059,8.38E-05,0.0078491,0.012113,0.70537,0.55616,0.46031,98.867,68.17,83.518
0.0041875,0.0093883,0.0064242,0.79723,0.1375,0.12829,0.0042609,0.0092712,0.0064954,0.95066,0.4218,0.31387,99.334,77.763,88.549
0.0011243,0.0038077,0.015068,0.75413,0.57254,0.083621,0.0010535,0.0039235,0.015057,0.84478,0.7747,0.40317,99.379,75.968,87.673
0.018621,0.00058167,0.00079687,0.52825,0.35615,0.099653,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,86.753,87.62,87.186
0.015602,0.0042348,0.00016343,0.84412,0.42073,0.041666,0.014655,0.0040728,0.001356,0.63616,0.14106,0.075532,93.17,78.24,85.705
0.005755,0.0076654,0.0065796,0.50567,0.14302,0.084323,0.0057824,0.0076776,0.0065964,0.71743,0.41524,0.40379,99.85,72.517,86.183
0.003441,0.0028167,0.013742,0.83817,0.47742,0.26338,0.003464,0.0033362,0.013233,0.88777,0.55179,0.38419,96.758,90.852,93.805
0.019349,0.00040922,0.00024196,0.66227,0.34506,0.29845,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,86.565,90.261,88.413
0.019882,9.88E-05,1.90E-05,0.6737,0.50488,0.47429,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,83.756,87.36,85.558
0.013362,0.0031944,0.003444,0.64308,0.38273,0.12875,0.011762,0.0034704,0.0048278,0.67407,0.37818,0.15718,90.546,97.398,93.972
0.019191,0.00035763,0.00045135,0.981,0.66353,0.4685,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,87.018,66.179,76.599
0.019154,0.00079527,5.09E-05,0.91688,0.14234,0.1182,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,83.715,76.716,80.215
0.0092828,0.0032011,0.0075161,0.76165,0.63341,0.34149,0.0090066,0.0032069,0.0078483,0.67474,0.53701,0.28041,98.067,91.596,94.832
0.0051966,0.005241,0.0095624,0.59337,0.20807,0.039475,0.0052119,0.0051046,0.00974,0.82471,0.45291,0.34803,98.994,73.404,86.199
0.016714,0.0012624,0.0020238,0.50475,0.15598,0.13052,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,96.072,94.647,95.359
0.0056267,0.01123,0.0031428,0.76576,0.11786,0.061907,0.005761,0.011123,0.0031826,0.92702,0.36438,0.19055,99.224,80.778,90.001
0.0056648,0.010248,0.0040875,0.86719,0.38992,0.070996,0.0057368,0.010272,0.004058,0.89741,0.42942,0.10863,99.628,96.378,98.003
0.0027108,0.004716,0.012573,0.81782,0.65932,0.44034,0.0025241,0.004731,0.012783,0.84136,0.60658,0.39165,98.745,95.49,97.117
0.0057318,0.0020324,0.012236,0.62294,0.43101,0.030924,0.0057955,0.002046,0.012232,0.81415,0.70972,0.31308,99.68,74.269,86.974
0.0099732,0.0098864,0.0001404,0.95245,0.54786,0.41994,0.0083521,0.0099224,0.0017255,0.74417,0.35642,0.31277,89.9,82.073,85.986
0.014935,0.0035216,0.001543,0.83866,0.23684,0.13781,0.014655,0.0040728,0.001356,0.63616,0.14106,0.075532,97.096,85.354,91.225
0.012377,0.0062066,0.001416,0.50799,0.10889,0.10757,0.012254,0.0061468,0.0015992,0.64471,0.24568,0.2175,98.99,87.097,93.044
0.016347,0.0023092,0.0013441,0.84107,0.67977,0.19011,0.016014,0.0030035,0.0009822,0.52199,0.46153,0.45744,96.259,72.558,84.408
0.013299,0.00019649,0.0065041,0.77219,0.40847,0.35666,0.013384,0.00079231,0.0059062,0.64337,0.36506,0.18624,96.238,86.63,91.434
0.0037522,0.015134,0.0011136,0.98818,0.32729,0.20413,0.0050594,0.012186,0.0028058,0.93707,0.40235,0.12688,84.01,93.026,88.518
0.010541,0.0043424,0.0051164,0.67928,0.22706,0.018891,0.010697,0.0044842,0.0048936,0.77121,0.28511,0.096406,98.697,92.173,95.435
0.007808,0.0029181,0.0092739,0.74314,0.52026,0.071417,0.0078769,0.0029706,0.0092297,0.82369,0.5507,0.20325,99.588,90.178,94.883
0.016529,0.0032279,0.00024276,0.91437,0.44342,0.29256,0.016085,0.0033674,0.00054785,0.55075,0.28828,0.27976,97.542,74.151,85.846
0.009128,0.0045495,0.0063225,0.51715,0.47932,0.020793,0.0092736,0.0049053,0.0059081,0.69463,0.58876,0.11343,97.539,86.31,91.924
0.0095212,0.0040422,0.0064366,0.76703,0.76562,0.69096,0.0090323,0.0043694,0.0066624,0.60545,0.4944,0.3559,97.267,72.588,84.927
0.00029511,0.01538,0.0043249,0.74264,0.28979,0.23853,0.00066096,0.012996,0.0063927,0.73818,0.52228,0.42621,85.896,81.44,83.668
0.017488,0.0025075,4.13E-06,0.59783,0.52009,0.15992,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,96.262,83.608,89.935
0.0082247,0.0096126,0.0021626,0.68413,0.29159,0.026598,0.0084615,0.009556,0.0020373,0.74564,0.3848,0.0066489,98.755,92.951,95.853
